model,provider,reasoning,K,item_id,grid_id,qtype,target_prompt,gold,raw,parsed,correct,input_tokens,output_tokens,cached,error
gpt-4.1-mini,openai,direct,0,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,151,1,0,
gpt-4.1-mini,openai,direct,0,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,158,6,0,
gpt-4.1-mini,openai,direct,0,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,149,1,0,
gpt-4.1-mini,openai,direct,1,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,169,1,0,
gpt-4.1-mini,openai,direct,1,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,175,6,0,
gpt-4.1-mini,openai,direct,1,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,167,1,0,
gpt-4.1-mini,openai,direct,2,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,198,1,0,
gpt-4.1-mini,openai,direct,2,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,204,6,0,
gpt-4.1-mini,openai,direct,2,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,196,1,0,
gpt-4.1-mini,openai,direct,4,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,242,1,0,
gpt-4.1-mini,openai,direct,4,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,248,6,0,
gpt-4.1-mini,openai,direct,4,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,240,1,0,
gpt-4.1-mini,openai,direct,8,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,Y,Y,1,329,1,0,
gpt-4.1-mini,openai,direct,8,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","(1, 0)","(1, 0)",1,335,6,0,
gpt-4.1-mini,openai,direct,8,2,94438ecc09,COUNT,How many cells contain the token 'Y'?,4,5,5,0,328,1,0,
gpt-4.1-mini,openai,cot,0,0,e688ab5dc5,POINT,"What token is at row 5, column 0?",Y,"Let's look at the grid and find the token at row 5, column 0.\n\nRow 5 is: Y B Y R . . .\nColumn 0 in this row is the first character, which is 'Y'.\n\nFinal answer: Y",Y,1,170,50,0,
gpt-4.1-mini,openai,cot,0,1,6cd6465903,LOOKUP,"What is the (row, column) of the first 'G' in row-major order?","(1, 0)","Step 1: Look at the grid row by row, starting from row 0.\nStep 2: In row 0, the cells are: B . . . . . . — no 'G' here.\nStep 3: In row 1, the cells are: G Y . . . . . — the first cell (column 0) is 'G'.\nStep 4: Since this is the first 'G' found in row-major order, the position is (1, 0).\n\nFinal answer: (1, 0)","(1, 0)",1,177,114,0,
