model,reasoning,task_index,correct,input_tokens,output_tokens,cached,raw_first_120
gpt-4.1-mini,direct,0,0,448,49,1,0 2 0 4 0\n0 2 4 4 0\n0 2 4 4 0\n4 2 4 4 7\n4 0 0 5 7
gpt-4.1-mini,direct,1,1,448,49,1,0 0 4 0 0\n0 4 4 4 0\n4 4 4 4 4\n4 4 4 4 4\n4 4 4 4 4
gpt-4.1-mini,direct,2,0,448,49,1,0 3 0 0 0\n3 3 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0
gpt-4.1-mini,direct,3,0,558,49,1,5 0 5 0 0\n0 5 0 5 0\n5 5 5 0 5\n5 0 5 5 0\n0 5 5 0 0
gpt-4.1-mini,direct,4,0,668,49,1,0 0 0 0 0\n9 9 9 0 0\n0 0 0 0 0\n9 0 0 0 9\n9 9 9 9 9
gpt-4.1-mini,direct,5,1,558,49,1,0 0 0 0 0\n0 0 0 7 0\n0 0 7 0 0\n0 7 0 0 0\n7 0 0 0 0
gpt-4.1-mini,direct,6,0,448,49,1,0 0 0 0 0\n0 0 0 4 4\n0 0 4 4 4\n4 4 4 4 4\n4 4 4 4 4
gpt-4.1-mini,direct,7,0,448,49,1,0 0 0 0 0\n8 0 5 5 0\n8 0 0 0 9\n8 0 4 0 0\n8 0 0 0 0
gpt-4.1-mini,direct,8,0,448,49,1,0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 2\n0 0 0 4 0\n0 0 4 0 0
gpt-4.1-mini,direct,9,0,448,49,1,0 0 0 0 0\n0 1 1 4 0\n0 1 1 0 0\n0 3 1 0 0\n0 0 0 0 0
gpt-4.1-mini,direct,10,0,448,49,1,0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 8 8 8\n0 0 0 8 0
gpt-4.1-mini,direct,11,1,448,49,1,1 1 0 0 0\n1 1 0 0 5\n0 0 0 5 5\n0 0 0 0 5\n8 8 0 0 0
gpt-4.1-mini,direct,12,0,558,49,1,4 0 0 0 8\n0 0 0 8 8\n4 0 0 8 0\n0 0 0 8 8\n4 0 0 0 8
gpt-4.1-mini,direct,13,1,448,49,1,4 4 4 0 0\n4 4 4 3 0\n4 4 4 3 6\n0 3 3 3 6\n0 0 6 6 6
gpt-4.1-mini,direct,14,0,558,49,1,7 7 7 4 7\n1 1 1 1 1\n0 0 0 4 0\n1 1 1 4 1\n1 1 1 4 1
gpt-4.1-mini,direct,15,0,558,49,1,0 0 0 0 0\n0 2 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0
gpt-4.1-mini,direct,16,0,998,49,1,0 2 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0\n0 0 0 0 0
